年月日,平均気温(℃)
2024/4/2,14.1
2024/4/3,13.9
2024/4/4,15.1
2024/4/5,11.7
2024/4/6,12.9
2024/4/7,16.6
2024/4/8,18
2024/4/9,16.2
2024/4/10,11.9
2024/4/11,14.1
2024/4/12,15.2
2024/4/13,16.5
2024/4/14,17.5
2024/4/15,18.9
2024/4/16,19
2024/4/17,19.9
2024/4/18,17.7
2024/4/19,18.9
2024/4/20,18.9
2024/4/21,18.6
2024/4/22,15.8
2024/4/23,17.1
2024/4/24,15.2
2024/4/25,19.3
2024/4/26,20.4
2024/4/27,19.3
2024/4/28,20.9
2024/4/29,21
2024/4/30,20.8
2024/5/1,16.8
2024/5/2,15.4
2024/5/3,17.8
2024/5/4,20.5
2024/5/5,21.3
2024/5/6,20.5
2024/5/7,20.1
2024/5/8,19.4
2024/5/9,14.3
2024/5/10,17.7
2024/5/11,20.3
2024/5/12,20.5
2024/5/13,19.2
2024/5/14,17.5
2024/5/15,19.5
2024/5/16,18.8
2024/5/17,20.6
2024/5/18,21.7
2024/5/19,20.3
2024/5/20,17.5
2024/5/21,22
2024/5/22,20.7
2024/5/23,21.2
2024/5/24,22.4
2024/5/25,20.9
2024/5/26,21.4
2024/5/27,21.7
2024/5/28,23.7
2024/5/29,21.8
2024/5/30,22.6
2024/5/31,19.4
2024/6/1,20.7
2024/6/2,19.6
2024/6/3,19.2
2024/6/4,19.8
2024/6/5,21.3
2024/6/6,22.1
2024/6/7,22.5
2024/6/8,22.6
2024/6/9,22
2024/6/10,21.2
2024/6/11,23.8
2024/6/12,24.4
2024/6/13,22.4
2024/6/14,25.3
2024/6/15,24.4
2024/6/16,23.8
2024/6/17,26.2
2024/6/18,19.2
2024/6/19,23.2
2024/6/20,24.2
2024/6/21,20.5
2024/6/22,24.1
2024/6/23,22.2
2024/6/24,27
2024/6/25,27.9
2024/6/26,27.1
2024/6/27,25.5
2024/6/28,21.9
2024/6/29,23.5
2024/6/30,25.7
2024/7/1,26.1
2024/7/2,27.3
2024/7/3,27
2024/7/4,29.5
2024/7/5,29.5
2024/7/6,29.1
2024/7/7,29.7
2024/7/8,31.1
2024/7/9,29.6
2024/7/10,29.4
2024/7/11,26.9
2024/7/12,24.2
2024/7/13,26.1
2024/7/14,26.1
2024/7/15,25.9
2024/7/16,24
2024/7/17,25.5
2024/7/18,28.2
2024/7/19,29.5
2024/7/20,30.8
2024/7/21,29.2
2024/7/22,31
2024/7/23,30.3
2024/7/24,31
2024/7/25,30.6
2024/7/26,30.2
2024/7/27,30.8
2024/7/28,31.1
2024/7/29,31.7
2024/7/30,30.9
2024/7/31,29.3
2024/8/1,28.8
2024/8/2,29
2024/8/3,29.2
2024/8/4,29.5
2024/8/5,29.6
2024/8/6,29.5
2024/8/7,29.4
2024/8/8,29.2
2024/8/9,30.5
2024/8/10,30.4
2024/8/11,31.2
2024/8/12,31.2
2024/8/13,31.1
2024/8/14,30.8
2024/8/15,30.7
2024/8/16,27.1
2024/8/17,30.7
2024/8/18,29.9
2024/8/19,30.1
2024/8/20,28.6
2024/8/21,29.3
2024/8/22,28.4
2024/8/23,29.3
2024/8/24,30.1
2024/8/25,29.2
2024/8/26,29
2024/8/27,27.6
2024/8/28,27.9
2024/8/29,27.3
2024/8/30,26.4
2024/8/31,27.5
2024/9/1,26.1
2024/9/2,29
2024/9/3,25.4
2024/9/4,25.7
2024/9/5,26.9
2024/9/6,28.2
2024/9/7,28.7
2024/9/8,28.9
2024/9/9,28.3
2024/9/10,29.1
2024/9/11,29.8
2024/9/12,29.7
2024/9/13,29.2
2024/9/14,29.3
2024/9/15,29.3
2024/9/16,26.6
2024/9/17,27.8
2024/9/18,29.6
2024/9/19,27.7
2024/9/20,29.9
2024/9/21,29.3
2024/9/22,27.1
2024/9/23,23.2
2024/9/24,21.3
2024/9/25,21
2024/9/26,24.7
2024/9/27,23.4
2024/9/28,24.2
2024/9/29,23.6
2024/9/30,23.1
2024/10/1,23.7
2024/10/2,26.5
2024/10/3,23.2
2024/10/4,26.2
2024/10/5,22
2024/10/6,21.8
2024/10/7,25.1
2024/10/8,19.7
2024/10/9,16.4
2024/10/10,18.3
2024/10/11,19.2
2024/10/12,20.9
2024/10/13,21.4
2024/10/14,21.2
2024/10/15,22.5
2024/10/16,23.4
2024/10/17,22.9
2024/10/18,21.9
2024/10/19,24.4
2024/10/20,17.4
2024/10/21,16.6
2024/10/22,20.1
2024/10/23,22.9
2024/10/24,23.6
2024/10/25,20.8
2024/10/26,19.8
2024/10/27,20.1
2024/10/28,19.7
2024/10/29,15.7
2024/10/30,16.9
2024/10/31,17.3
2024/11/1,17.4
2024/11/2,16.3
2024/11/3,18.4
2024/11/4,18.4
2024/11/5,17.3
2024/11/6,14.8
2024/11/7,14
2024/11/8,13
2024/11/9,13.1
2024/11/10,14.1
2024/11/11,16.8
2024/11/12,16.8
2024/11/13,17.1
2024/11/14,15.8
2024/11/15,16
2024/11/16,17.3
2024/11/17,19
2024/11/18,14.4
2024/11/19,10.4
2024/11/20,7.8
2024/11/21,11.1
2024/11/22,13.1
2024/11/23,12.5
2024/11/24,11.8
2024/11/25,11.1
2024/11/26,10.3
2024/11/27,15.4
2024/11/28,13.8
2024/11/29,12.6
2024/11/30,11.8
2024/12/1,11.9
2024/12/2,12.4
2024/12/3,13.4
2024/12/4,13.4
2024/12/5,12.3
2024/12/6,11.6
2024/12/7,9.7
2024/12/8,8.8
2024/12/9,8.7
2024/12/10,9.6
2024/12/11,9.3
2024/12/12,7.4
2024/12/13,6.6
2024/12/14,7.8
2024/12/15,7.9
2024/12/16,9
2024/12/17,8.9
2024/12/18,8.5
2024/12/19,5.9
2024/12/20,8.4
2024/12/21,11.6
2024/12/22,7.6
2024/12/23,6.7
2024/12/24,7
2024/12/25,8.2
2024/12/26,9.8
2024/12/27,8
2024/12/28,6.7
2024/12/29,7
2024/12/30,6.6
2024/12/31,9.3
